Company_Name,Country,Sector,Overall_Rating,Overall_Score,Environmental_Score,Social_Score,Governance_Score
"AfreecaTV Co, Ltd",KR,Interactive Media & Services,B,1.6,6.3,3.8,3.1
"Aier Eye Hospital Group Co, Ltd",CN,Health Care Providers & Services,B,2.8,7.1,3.6,4.1
Alabama Power Company,US,Utilities,A,6.5,6.8,6.9,5.1
Albireo Pharma Inc,US,Biotechnology,B,2.8,2.3,3.6,5.8
Alector Inc,US,Biotechnology,A,6.6,7.3,4.7,6.0
Alfresa Holdings Corporation,JP,Health Care Providers & Services,A,6.3,,7.0,3.7
Allakos Inc,US,Biotechnology,A,5.9,7.3,4.6,5.3
Allogene Therapeutics Inc,US,Biotechnology,A,6.2,6.6,5.0,3.3
Allovir Inc,US,Biotechnology,B,1.7,5.1,4.1,3.3
Alpha Systems Inc,JP,Software & Services,A,6.7,4.4,6.5,3.0
Alpha and Omega Semiconductor Ltd,US,Semiconductors & Semiconductor Equipment,B,2.4,3.9,3.1,5.5
Aluminum Corporation of China Limited,CN,Metals and Mining - Non-Precious Metals,B,2.3,2.0,2.9,2.7
American Well Corp,US,Health Care Equipment & Supplies,B,2.4,6.7,3.7,4.6
Anavex Life Sciences Corp,US,Biotechnology,A,5.9,7.1,4.3,5.7
"Anhui Honglu Steel Construction (Group) CO, LTD",CN,Building Products,B,1.6,,2.6,3.4
Anhui Yingjia Distillery Co Ltd,CN,Beverages,B,2.3,4.1,3.3,3.0
"Anji Leasing Co, Ltd",CN,Automobiles,B,2.3,5.5,3.3,1.8
"Ant Group Co, Ltd",CN,Software & Services,A,6.0,6.9,5.2,3.9
Anterix Inc,US,Telecommunication Services,B,2.4,6.2,3.7,4.2
"Aozora Bank,Ltd",JP,Banks,A,6.2,1.3,4.8,4.3
"Apple Hospitality REIT, Inc",US,Real Estate Management & Services,B,2.1,4.4,1.6,5.6
Applied Therapeutics Inc,US,Biotechnology,A,6.2,7.3,4.4,5.8
Arcus Biosciences Inc,US,Biotechnology,B,2.8,7.3,4.8,3.2
Argonaut Gold Inc,US,Metals and Mining - Precious Metals,B,2.4,1.4,3.3,6.1
Arvinas Inc,US,Pharmaceuticals,A,6.9,6.1,5.8,3.8
Atara Biotherapeutics Inc,US,Biotechnology,A,6.9,,4.9,5.6
"Audacy, Inc",US,Media & Entertainment,B,2.7,,3.4,3.6
"Autobio Diagnostics Co, Ltd",CN,Health Care Equipment & Supplies,B,2.1,6.0,4.6,3.5
Autohome Inc,CN,Interactive Media & Services,B,1.9,6.4,1.9,3.7
AvanStrate Inc,JP,Metals and Mining - Non-Precious Metals,B,2.7,2.0,3.7,2.7
"B RILEY FINANCIAL, INC",US,Investment Banking & Brokerage,B,2.3,4.5,1.8,5.4
"BAIC Finance Investment Co, Ltd",CN,Automobiles,B,1.7,6.1,1.5,1.8
"BAIC Group Industrial Investment Co, Ltd",CN,Automobiles,B,1.7,6.1,1.5,1.8
"BAIC Inalfa HK Investment Co, Limited",CN,Automobiles,B,1.7,6.1,1.5,1.8
BALCHEM CORPORATION,US,Specialty Chemicals,A,6.3,5.4,3.5,6.2
"BANCO DE CREDITO E INVERSIONES, SA",US,Banks,A,6.8,,5.2,4.9
BANDAI NAMCO Holdings Inc,JP,Leisure Products,B,2.6,1.1,4.1,5.4
BANDWIDTH INC,US,Telecommunication Services,A,7.1,6.2,6.6,4.2
"BANK OF CHANGSHA CO, LTD",CN,Banks,B,2.7,2.5,2.7,4.5
"BANK OF CHENGDU CO, LTD",CN,Banks,B,2.1,1.2,3.2,3.1
BANK OF HAWAII CORPORATION,US,Banks,A,7.0,3.1,4.2,6.8
"BANK OF NANJING CO, LTD",CN,Banks,B,2.1,1.8,2.6,4.8
BANK ONE CAPITAL III,US,Banks,A,7.1,,4.5,4.4
BAOZUN INC,CN,Retail - Consumer Discretionary,A,6.8,1.3,7.8,3.4
BARCLAYS BANK DELAWARE,US,Banks,A,7.1,,4.1,6.0
BARCLAYS CAPITAL INC,US,Banks,A,7.1,6.5,4.1,6.0
"BARRETT BUSINESS SERVICES, INC",US,Professional Services,B,2.3,6.7,3.4,6.5
BASF CATALYSTS LLC,US,Diversified Chemicals,A,6.0,,2.0,5.4
"BASIC ENERGY SERVICES, INC",US,Energy Equipment & Services,B,2.6,4.1,5.3,3.0
BAXALTA INCORPORATED,US,Biotechnology,A,5.9,6.4,3.6,6.4
BAXTER INTERNATIONAL INC,US,Health Care Equipment & Supplies,A,6.6,,6.2,4.8
BBVA USA,US,Banks,A,5.9,7.6,4.0,6.3
BBVA USA BANCSHARES INC,US,Banks,A,5.9,,4.0,6.3
"BC CARD CO, LTD",KR,Telecommunication Services,A,7.1,9.7,6.3,5.6
"BEACON POINTE ADVISORS, LLC",US,Real Estate Development & Diversified Activities,A,6.4,5.1,5.2,6.6
"BEATS ELECTRONICS, LLC",US,"Technology Hardware, Storage & Peripherals",A,6.1,3.8,5.6,3.6
"BEAZER HOMES USA, INC",US,Real Estate Development & Diversified Activities,A,6.8,5.6,5.5,5.5
"BELLRING BRANDS, INC",US,Household & Personal Products,B,1.5,0.6,3.7,4.8
BELO CORP,US,"Broadcasting, Cable & Satellite",A,6.9,8.3,5.8,5.4
"BENCHMARK ELECTRONICS, INC",US,"Electronic Equipment, Instruments & Components",A,6.5,2.6,5.1,5.4
"BENEFITFOCUS, INC",US,Software & Services,A,6.9,,4.9,5.6
"BGC PARTNERS, INC",US,Investment Banking & Brokerage,B,2.1,,2.4,4.3
"BIG LOTS, INC",US,Retail - Consumer Discretionary,A,6.1,4.0,4.4,5.8
"BINGGRAE CO,LTD",KR,Food Products,B,1.6,0.8,6.0,3.0
"BIO-RAD LABORATORIES, INC",US,Health Care Equipment & Supplies,B,1.6,6.4,4.6,3.3
"BIOLIFE SOLUTIONS, INC",US,Health Care Equipment & Supplies,B,2.4,6.4,3.9,5.4
"BLACK KNIGHT INFOSERV, LLC",US,Software & Services,A,7.1,4.3,6.0,5.0
"BLACK KNIGHT, INC",US,Software & Services,A,7.1,,6.0,5.0
"BLACKLINE, INC",US,Software & Services,A,7.1,3.6,5.9,5.5
BLACKSTONE HOLDINGS FINANCE CO LLC,US,Asset Management & Custody Banks,B,1.7,,5.1,3.1
"BLACKSTONE MORTGAGE TRUST, INC",US,Asset Management & Custody Banks,B,2.8,6.7,4.3,5.2
"BLOCK, INC",US,Software & Services,A,6.4,7.0,5.6,3.1
"BLUE RIDGE MOUNTAIN RESOURCES, INC",US,Oil & Gas Exploration & Production,A,6.5,2.7,6.5,6.5
"BML, INC",JP,Health Care Providers & Services,A,6.7,6.2,6.6,4.3
BMW BANK OF NORTH AMERICA,US,Automobiles,A,7.1,7.1,4.3,3.5
BMW Japan Finance Corp,JP,Automobiles,A,7.1,7.1,4.3,3.5
"BMW US CAPITAL, LLC",US,Diversified Financials,A,7.1,7.1,4.3,3.5
BNP Paribas Fortis SA,US,Banks,A,7.0,,4.1,6.6
BNSF FUNDING TRUST I,US,Road & Rail Transport,B,2.6,3.1,3.2,3.4
BNSF RAILWAY COMPANY,US,Road & Rail Transport,B,2.6,3.1,3.2,3.4
BNY TOWER ASSOCIATES LLC,US,Real Estate Management & Services,A,7.1,,4.2,5.9
"BOC International (China) CO, LTD",CN,Investment Banking & Brokerage,B,1.8,3.2,1.5,4.2
BODEGA LATINA CORPORATION,US,Retail - Food & Staples,B,2.7,,4.2,2.9
BORGWARNER INC,US,Auto Components,A,7.0,,3.9,5.8
BOSTON PRIVATE CAPITAL TRUST I,US,Banks,A,7.1,0.0,4.0,6.7
BOSTON PROPERTIES LIMITED PARTNERSHIP,US,Real Estate Management & Services,A,7.1,8.0,4.2,5.9
"BOSTON PROPERTIES, INC",US,Real Estate Management & Services,A,7.1,8.0,4.2,5.9
"BOTTOMLINE TECHNOLOGIES, INC",US,Software & Services,A,6.0,4.0,5.5,4.8
BP CAPITAL MARKETS AMERICA INC,US,Integrated Oil & Gas,A,6.0,4.4,5.4,6.5
"BR ADVISORY & INVESTMENTS, LLC",US,Investment Banking & Brokerage,B,2.3,4.5,1.8,5.4
"BRANDYWINE OPERATING PARTNERSHIP, LP",US,Real Estate Management & Services,A,7.1,7.0,6.9,5.0
BRANDYWINE REALTY TRUST,US,Real Estate Management & Services,A,7.1,7.0,6.9,5.0
BRASKEM AMERICA FINANCE COMPANY,US,Commodity Chemicals,B,2.2,,4.6,0.6
"BRASKEM AMERICA, INC",US,Commodity Chemicals,B,2.2,4.2,4.6,0.6
"BRAZOS VALLEY LONGHORN, LLC",US,Oil & Gas Exploration & Production,B,2.3,1.5,3.7,5.3
"BRIDGEBIO PHARMA, INC",US,Biotechnology,A,6.2,6.3,4.7,5.6
BRIDGESTONE CORPORATION,JP,Auto Components,A,7.0,4.2,4.0,6.9
"BRIGHAM MINERALS, INC",US,Oil & Gas Exploration & Production,B,2.0,0.8,3.5,6.1
"BRIGHAM MINERALS, LLC",US,Oil & Gas Exploration & Production,B,2.0,,3.5,6.1
"BRIGHTHOUSE FINANCIAL, INC",US,Life & Health Insurance,B,2.2,6.3,2.9,5.6
"BRINKER INTERNATIONAL, INC",US,Restaurants,A,7.1,2.4,5.0,7.0
BRISTOL-MYERS SQUIBB COMPANY,US,Pharmaceuticals,A,5.9,5.6,4.4,6.2
BRISTOW GROUP INC,US,Energy Equipment & Services,B,2.4,4.2,4.4,5.3
BRISTOW HOLDINGS US INC,US,Energy Equipment & Services,B,2.4,,4.4,5.3
BRIXMOR LLC,US,Real Estate Management & Services,A,5.8,5.9,3.1,6.4
BRIXMOR OPERATING PARTNERSHIP LP,US,Real Estate Management & Services,A,5.8,5.9,3.1,6.4
